ProjID,Market,DeliveryDate,YearBuilt,Submarket,AgeAtDelivery,SeasonOfDelivery,SubmarketCompetition,RentAtDelivery,AvgOcc_3Mo_PostDelivery,Cluster,tSNE1,tSNE2
13268,"Austin-Round Rock, TX",2008-04-01,2003,Southeast Austin,5,Spring,0,670.0,0.0,2.0,-4.869074,16.067827
18255,"Austin-Round Rock, TX",2008-04-01,2007,East Austin,1,Spring,3,1606.0,0.8489999999999999,2.0,-2.939874,16.299152
18272,"Austin-Round Rock, TX",2008-10-01,2009,Round Rock/Georgetown,-1,Fall,4,1035.0,0.18166666666666664,3.0,1.0496708,-25.316109
19035,"Austin-Round Rock, TX",2008-04-01,2008,Downtown/University,0,Spring,3,2479.0,0.7526666666666667,2.0,-1.3571385,15.482919
19124,"Austin-Round Rock, TX",2008-04-01,2009,Far South Austin,-1,Spring,1,1154.0,0.15666666666666665,2.0,0.84843546,25.0667
19145,"Austin-Round Rock, TX",2008-04-01,2008,Pflugerville/Wells Branch,0,Spring,0,1036.0,0.3466666666666667,2.0,-3.420732,22.620132
19148,"Austin-Round Rock, TX",2008-04-01,2008,Southwest Austin,0,Spring,2,1695.0,0.5693333333333334,2.0,-2.1123893,18.511183
19152,"Austin-Round Rock, TX",2008-04-01,2008,Downtown/University,0,Spring,3,2870.0,0.12333333333333334,2.0,0.15117207,12.659169
19170,"Austin-Round Rock, TX",2008-04-01,2007,Cedar Park,1,Spring,3,1016.0,0.7566666666666667,2.0,-3.3536,16.41386
19199,"Austin-Round Rock, TX",2009-04-01,2009,East Austin,0,Spring,0,1506.0,0.06366666666666666,2.0,-2.367311,23.322863
19373,"Austin-Round Rock, TX",2008-04-01,2008,Southwest Austin,0,Spring,2,1417.0,0.146,2.0,-0.25154406,21.652248
19410,"Austin-Round Rock, TX",2008-04-01,2008,Downtown/University,0,Spring,3,2012.0,0.32633333333333336,2.0,-1.1991614,19.868279
19551,"Austin-Round Rock, TX",2008-04-01,2008,Southwest Austin,0,Spring,2,1149.0,0.16,2.0,0.5633526,21.68759
19622,"Austin-Round Rock, TX",2008-05-01,2008,Cedar Park,0,Spring,3,1054.0,0.5696666666666667,2.0,-0.6369207,17.52775
19624,"Austin-Round Rock, TX",2008-12-01,2008,Pflugerville/Wells Branch,0,Winter,1,1018.0,0.695,0.0,-17.133827,-3.2353246
19625,"Austin-Round Rock, TX",2008-12-01,2009,Downtown/University,-1,Winter,2,1684.0,0.23066666666666666,0.0,-24.235197,-2.6412435
19639,"Austin-Round Rock, TX",2009-12-01,2010,Downtown/University,-1,Winter,1,1864.0,0.8450000000000001,0.0,-16.865837,-1.2982059
19776,"Austin-Round Rock, TX",2008-06-01,2008,Cedar Park,0,Summer,3,930.0,0.599,1.0,15.680158,-0.036749184
19831,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,1028.0,0.6093333333333334,2.0,1.3855323,17.121265
19836,"Austin-Round Rock, TX",2009-03-01,2009,Far South Austin,0,Spring,3,1054.0,0.4146666666666667,2.0,0.39337337,18.177668
19837,"Austin-Round Rock, TX",2009-03-01,2009,Far South Austin,0,Spring,3,1188.0,0.408,2.0,0.22833832,18.354078
19839,"Austin-Round Rock, TX",2008-06-01,2008,North Central Austin,0,Summer,0,865.0,0.103,1.0,15.9426,-3.5419738
19841,"Austin-Round Rock, TX",2008-12-01,2008,Southeast Austin,0,Winter,1,1027.0,0.7840000000000001,0.0,-16.730326,-3.2134025
19869,"Austin-Round Rock, TX",2008-07-01,2008,Downtown/University,0,Summer,5,2108.0,0.25233333333333335,1.0,21.185083,-4.296792
19876,"Austin-Round Rock, TX",2009-01-01,2009,Downtown/University,0,Winter,2,2354.0,0.331,0.0,-21.914108,0.50239843
19952,"Austin-Round Rock, TX",2008-08-01,2008,East Austin,0,Summer,3,1130.0,0.34,1.0,17.881618,-1.098906
19960,"Austin-Round Rock, TX",2008-08-01,2008,East Austin,0,Summer,3,943.0,0.146,1.0,18.660172,-1.3397527
19962,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,925.0,0.4533333333333333,2.0,1.7882851,17.48676
19963,"Austin-Round Rock, TX",2008-09-01,2009,Cedar Park,-1,Fall,3,1045.0,0.17900000000000002,3.0,0.16916017,-24.785633
19965,"Austin-Round Rock, TX",2008-08-01,2008,South Austin,0,Summer,1,1412.0,0.26933333333333337,1.0,17.349339,-2.6296718
20040,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,1058.0,0.4026666666666667,2.0,1.8960555,17.69262
20173,"Austin-Round Rock, TX",2008-11-01,2009,Far West Austin,-1,Fall,0,1551.0,0.079,3.0,-1.7975391,-21.529411
20685,"Austin-Round Rock, TX",2009-03-01,2009,Round Rock/Georgetown,0,Spring,5,1047.0,0.25633333333333336,2.0,2.2272875,18.175869
20697,"Austin-Round Rock, TX",2008-09-01,2009,Far South Austin,-1,Fall,4,873.0,0.27999999999999997,3.0,0.69434536,-25.840565
23047,"Austin-Round Rock, TX",2010-03-01,2010,North Central Austin,0,Spring,1,1266.0,0.5213333333333333,2.0,-3.0920544,19.0749
26327,"Austin-Round Rock, TX",2009-07-01,2009,North Central Austin,0,Summer,0,1243.0,,,,
26336,"Austin-Round Rock, TX",2009-12-01,2009,Northwest Austin,0,Winter,0,1063.0,0.49700000000000005,0.0,-17.96601,-3.196357
26391,"Austin-Round Rock, TX",2009-07-01,2009,Pflugerville/Wells Branch,0,Summer,2,849.0,0.9146666666666667,1.0,15.539734,1.169772
26404,"Austin-Round Rock, TX",2009-09-01,2009,Pflugerville/Wells Branch,0,Fall,2,997.0,0.7566666666666667,3.0,-3.3657448,-26.910612
26406,"Austin-Round Rock, TX",2009-09-01,2009,South Austin,0,Fall,0,2154.0,0.7306666666666667,3.0,-0.2851778,-18.530148
26420,"Austin-Round Rock, TX",2009-12-01,2009,Southwest Austin,0,Winter,1,1138.0,0.746,0.0,-16.997644,-3.0009255
26425,"Austin-Round Rock, TX",2009-12-01,2009,Near North Austin,0,Winter,1,1429.0,0.42700000000000005,0.0,-18.982801,-2.5755615
26436,"Austin-Round Rock, TX",2009-09-01,2009,Downtown/University,0,Fall,1,2959.0,0.5710000000000001,3.0,0.058453206,-18.607588
27065,"Austin-Round Rock, TX",2009-03-01,2009,Far South Austin,0,Spring,3,1131.0,0.20466666666666664,2.0,1.2824681,20.039083
30455,"Austin-Round Rock, TX",2009-03-01,2009,Pflugerville/Wells Branch,0,Spring,3,1141.0,0.5703333333333332,2.0,-0.7400384,17.596607
33780,"Austin-Round Rock, TX",2010-07-01,2010,North Central Austin,0,Summer,1,798.0,0.5333333333333333,1.0,16.333405,0.594915
33925,"Austin-Round Rock, TX",2010-02-01,2010,Cedar Park,0,Winter,0,1136.0,0.15566666666666665,0.0,-19.99772,-1.2418461
34006,"Austin-Round Rock, TX",2009-09-01,2009,Far West Austin,0,Fall,0,1127.0,0.7346666666666667,3.0,-3.8796237,-26.796139
34037,"Austin-Round Rock, TX",2012-09-01,2013,Far South Austin,-1,Fall,1,1105.0,0.2843333333333333,3.0,-1.8523217,-23.817327
34038,"Austin-Round Rock, TX",2010-04-01,2010,Riverside,0,Spring,0,1381.0,0.06266666666666666,2.0,-2.19779,23.711767
34139,"Austin-Round Rock, TX",2010-04-01,2010,Near North Austin,0,Spring,1,1428.0,0.373,2.0,-2.6413481,20.392502
34164,"Austin-Round Rock, TX",2010-03-01,2010,Southwest Austin,0,Spring,2,1025.0,0.322,2.0,-0.0021101828,19.254372
34301,"Austin-Round Rock, TX",2011-10-01,2012,San Marcos,-1,Fall,2,900.0,0.07033333333333334,3.0,-0.8099437,-23.936285
34304,"Austin-Round Rock, TX",2010-09-01,2010,San Marcos,0,Fall,0,980.0,0.8516666666666666,3.0,-3.8965328,-27.023083
34862,"Austin-Round Rock, TX",2013-12-01,2014,Cedar Park,-1,Winter,3,922.0,0.1386666666666667,0.0,-23.443367,-4.1121364
34863,"Austin-Round Rock, TX",2013-12-01,2014,East Austin,-1,Winter,2,1752.0,0.13033333333333333,0.0,-24.514761,-2.7545497
34865,"Austin-Round Rock, TX",2012-09-01,2013,South Austin,-1,Fall,1,1638.0,0.09966666666666667,3.0,-0.6456937,-21.751244
34951,"Austin-Round Rock, TX",2014-07-01,2015,Near North Austin,-1,Summer,3,1548.0,0.131,1.0,23.787958,-0.8835833
35623,"Austin-Round Rock, TX",2013-08-01,2014,South Austin,-1,Summer,2,1574.0,0.08166666666666667,1.0,24.214834,0.39254978
35651,"Austin-Round Rock, TX",2019-09-01,2020,Downtown/University,-1,Fall,1,3420.0,0.11866666666666666,3.0,0.9537303,-19.364
35677,"Austin-Round Rock, TX",2012-08-01,2012,South Austin,0,Summer,1,1819.0,0.2723333333333333,1.0,18.316256,-2.6903067
35678,"Austin-Round Rock, TX",2013-04-01,2014,North Central Austin,-1,Spring,3,1310.0,0.0,2.0,2.3790085,24.059177
35681,"Austin-Round Rock, TX",2013-01-01,2013,Round Rock/Georgetown,0,Winter,0,1290.0,0.12433333333333334,0.0,-20.254326,-1.2023188
